Rank,Song,Artist,Genius Lyrics Link,Lyrics,Audio Link
11,Karma,Taylor Swift Featuring Ice Spice,https://genius.com/Taylor-swift-karma-remix-lyrics,"  Karma is that girl, like (Grrah)   You're talking shit for the hell of it Addicted to betrayal, but you're relevant You're terrified to look down 'Cause if you dare, you'll see the glare Of everyone you burned just to get there It's comin' back around   And I keep my side of the street clean You wouldn't know what I mean   'Cause karma is my boyfriend Karma is a god Karma is the breeze in my hair on the weekend Karma's a relaxing thought Aren't you envious that for you it's not? Sweet like honey, karma is a cat Purring in my lap 'cause it loves me Flexing likе a goddamn acrobat Me and karma vibe like that",https://www.youtube.com/watch?v=rg18Kf4en2o
12,Snooze,SZA,https://genius.com/Sza-snooze-lyrics,"  Ooh I think I know   I'll touch that fire for you I do that three, four times again, I testify for you I told that lie, I'd kill that bitch I do what all of them around you scared to do, I'm not Long as you juggin' out here for me, I got it Mobbin', schemin', lootin', hide your bodies Long as you dreamin' 'bout me, ain't no problem I don't got nobody, just with you right now Tell the truth, I look better under you   I can't lose when I'm with you How can I snooze and miss the moment? You just too important Nobody do body like you do I can't lose when I'm with you I can't just snooze and miss the moment You just too important Nobody do body like you do, you do   In a droptop ride with you, I feel like Scarface (Scarface) Like that white bitch with the bob, I'll be your main one (Your main one) Lеt's take this argument back up to my place (My placе) Sex remind you I'm nonviolent, I'm your day one (Day one) We ain't have shit yet, it was magic, yeah Smash and grab shit, yeah Nasty habits take a hold when you not here Ain't a home when you not here Hard to grow when you not here, I'm sayin'",https://www.youtube.com/watch?v=Sv5yCzPCkv8
13,Kill Bill,SZA,https://genius.com/Sza-kill-bill-lyrics,"  I'm still a fan even though I was salty Hate to see you with some other broad, know you happy Hate to see you happy if I'm not the one drivin'   I'm so mature, I'm so mature I'm so mature, I got me a therapist to tell me there's other men I don't want none, I just want you If I can't have you, no one should   I might I might kill my ex, not the best idea His new girlfriend's next, how'd I get here? I might kill my ex, I still love him though Rather be in jail than alone   I get the sense that it's a lost cause I get the sense that you might really love her This text gon' be evidence, this text is evidence I tried to ration with you, no murders or crime of passion, but damn You was out of reach You was at the farmer's market with your perfect peach Now I'm in the basement plannin' home invasion Now you layin' face-down, got me singin' over a beat",https://www.youtube.com/watch?v=SQnc1QibapQ
14,Need A Favor,Jelly Roll,https://genius.com/Jelly-roll-need-a-favor-lyrics,"  I only talk to God when I need a favor And I only pray when I ain't got a prayer So who the hell am I, who the hell am I to expect a savior, oh If I only talk to God when I need a favor? But, God, I need a favor   I know amazin' grace, but I ain't been livin' them words Swear I spend most Sundays Drunk off my ass than I have at church Hard cover King James Only been savin' dust on the nightstand And I don't know what to say By the time I fold my hands   I only talk to God when I need a favor And I only pray when I ain't got a prayer So who the hell am I, who the hell am I to expect a savior, oh If I only talk to God when I need a favor? But, God, I need a favor   Amen, amen",https://www.youtube.com/watch?v=hCYugn5fbog
15,Favorite Song,Toosii,https://genius.com/Toosii-favorite-song-lyrics,"  But nobody's Gonna make you change what you probably Don't like anyway 'bout you darlin' So you might as well Hmm-mmm Be somebody Who can make you face what you're guardin' Open up the gates where your heart is And just be yourself ( ADELSO on this ) Yeah   I'm on the stage right now, singin' your favorite song Look in the crowd, and you're nowhere to be found as they sing along I say, ""You look good without no make-up, no lashes, even better when you wake up"" (Oh, oh, oh)   I see the look on your face, I see you're hidin' the hate I see you're lookin' for someone to scoop you right off of your feet You want to ride in the Wraith You want to go out on dates You want somebody to come bring you flowers Someone to talk to for hours Wash your back while y'all sit in the shower (Yeah) Someone to tell you, ""You're beautiful"" Someone to tell you and mean it Someone to tell you, ""I love you"" everyday and don't got a reason You want someone to bring you peace (Uh) Someone to help you sleep (Yeah) Someone to pick you up when you're feelin' down, feelin' lonely",https://www.youtube.com/watch?v=R3a8k4TfVOI
16,Sure Thing,Miguel,https://genius.com/Miguel-sure-thing-lyrics,"  Love you like a brother Treat you like a friend Respect you like a lover   Oh-ooh-oh, oh-ooh-oh, oh-ooh-oh ( You could bet that, never gotta sweat that ) Oh-ooh-oh, oh-ooh-oh, oh ( You could bet that, never gotta sweat that ) Yeah, yeah, yeah ( You could bet that, never gotta sweat that ) ( You could  bet  that, never gotta sweat that ) Yeah   If you be the cash, I'll be the rubber band You be the match, I will be a fuse, boom! Painter, baby, you could be the muse I'm the reporter, baby, you could be the news 'Cause you're the cigarette and I'm the smoker We raise a bet 'cause you're the joker Checked off, you are the chalk And I could be the blackboard, you can be the talk And I can be the walk, yeah-eah   Even when the sky comes fallin' Even when the sun don't shine I got faith in you and I So put your pretty little hand in mine Even when we're down to the wire, babe Even when it's do or die We could do it, baby, simple and plain 'Cause this love is a sure thing, yeah",https://music.youtube.com/watch?v=q4GJVOMjCC4
17,Creepin',"Metro Boomin, The Weeknd & 21 Savage",https://genius.com/Metro-boomin-the-weeknd-and-21-savage-creepin-lyrics,"  ( Just can't believe this, man ) ( Metro Boomin want some more, nigga )   Somebody said they saw you The person you were kissing wasn't me And I would never ask you I just kept it to myself   I don't wanna know If you're playin' me, keep it on the low 'Cause my heart can't take it anymore And if you creepin', please don't let it show Oh, baby, I don't wanna know   I think about it when I hold you When lookin' in your eyes, I can't believe And I don't need to know the truth Baby, keep it to yourself   I don't wanna know If you're playin' me, keep it on the low 'Cause my heart can't take it anymore And if you creepin', please don't let it show Oh, baby, I don't wanna know",https://www.youtube.com/watch?v=jamJ2xrVfDw
18,Something In The Orange,Zach Bryan,https://genius.com/Zach-bryan-something-in-the-orange-lyrics,"  It'll be fine by dusk light, I'm tellin' you, baby These things eat at your bones and drive your young mind crazy But when you place your head between my collar and jaw I don't know much, but there's no weight at all   And I'm damned if I do and I'm damned if I don't 'Cause if I say I miss you, I know that you won't But I miss you in the mornings when I see the sun Somethin' in the orange tells me we're not done   To you, I'm just a man; to me, you're all I am Where the hell am I supposed to go? I poisoned myself again, somethin' in the orange Tells me you're never comin' home   I need to hear you say you've been waitin' all night There's orange dancin' in your eyes from bulb light Your voice only trembles when you try to speak Take me back to us dancin', this wood used to creak   To you, I'm just a man; to me, you're all I am Where the hell am I supposed to go? I poisoned myself again, somethin' in the orange Tells me you're never comin' home",https://www.youtube.com/watch?v=lA8F9sIhGdg
19,Anti-Hero,Taylor Swift,https://genius.com/Taylor-swift-anti-hero-lyrics,"  I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift ,  all of the people I've ghosted stand there in the room   I should not be left to my own devices They come with prices and vices I end up in crisis (Tale as old as time) I wake up screaming from dreaming One day, I'll watch as you're leaving 'Cause you got tired of my scheming (For the last time)   It's me, hi I'm the problem, it's me At teatime, everybody agrees I'll stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero   Sometimes, I feel like everybody is a sexy baby And I'm a monster on the hill Too big to hang out, slowly lurching toward your favorite city Pierced through the heart, but never killed",https://www.youtube.com/watch?v=b1kbLwvqugk
20,Ella Baila Sola,Eslabon Armado X Peso Pluma,https://genius.com/Eslabon-armado-and-peso-pluma-ella-baila-sola-lyrics,"    Compa, ¿qué le parece esa morra? La que anda bailando sola me gusta pa' mí ¡Bella! Ella sabe que está buena Que todos andan mirándola cómo baila Me acerco y le tiro todo un verbo Tomamos tragos sin peros, solo tentación Le dije: ""Voy a conquistar tu familia, que en unos días vas a ser mía"" Me dijo que estoy muy loco, pero le gusta Que ningún vato como yo actúa   Y ahí te va, mija Y pura Doble P, viejo Así nomás, compa Pedro Puro Eslabon Armado Pa' las plebitas ¡Cha-chau!   No soy un vato que tiene varo Pero hablando del corazón te cumplo todo Me agarró pegadito dе su mano Mi compa ni se la creyó, que al pasar fui yo Su cuеrpo, juro por Dios, que era tan perfecta Su cinturita como modelo Sus ojos desde el principio me enamoraron A ella le gusto y a mí me gusta",https://www.youtube.com/watch?v=QM-q2F1a9g4
