Rank,Song,Artist,Genius Lyrics Link,Lyrics,Audio Link
31,I'm Good (Blue),David Guetta & Bebe Rexha,https://genius.com/David-guetta-and-bebe-rexha-im-good-blue-lyrics,"  I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good, yeah, I'm feelin' alright 'Cause I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good, yeah, I'm feelin' alright   Don't you know I'm good, yeah, I'm feelin' alright   You know I'm down for whatever tonight I don't need the finer things in life No matter where I go, it's a good time, yeah And I, I don't need to sit in VIP Middle of the floor, that's where I'll be Don't got a lot, but that's enough for me, yeah   'Cause I'm good, yeah, I'm feelin' alright Baby, I'ma have the best fuckin' night of my life And wherever it takes me, I'm down for the ride Baby, don't you know I'm good, yeah, I'm feelin' alright",https://www.youtube.com/watch?v=DqBK1MxprYA
32,Un x100to,Grupo Frontera X Bad Bunny,https://genius.com/Grupo-frontera-and-bad-bunny-un-x100to-lyrics,"    Me queda 1% Y lo usaré solo para decirte lo mucho que lo siento Que si me ven con otra en una disco solo es perdiendo el tiempo Baby, ¿pa' qué te miento? Eso de que me vieron feliz, no, no es cierto   Ya nada me hace reír Solo cuando veo las fotos y los vídeos que tengo de ti Salí con otra para olvidarte y tenía el perfume que te gusta a ti Prendo para irme a dormir Porque duermo mejor si sueño que estás aquí Si supieras que te escribí No he mandado los mensajes, siguen todos ahí Wow, qué mucho me ha costa'o Quizás te hice un favor cuando me fui de tu lado Borracho viendo tus fotos, me duele ver que tú sí has mejorado No tienes días grises, ya no te duelen las cicatrices Y yo pensando si decirte que   Me queda 1% Y lo usaré solo para decirte lo mucho que lo siento Que si me ven con otra en una disco solo es perdiendo el tiempo Baby, ¿pa' qué te miento? Eso de que me vieron feliz, no, no es cierto ( Ey )",https://www.youtube.com/watch?v=t48PJ2gPhMA
33,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,https://genius.com/Taylor-swift-i-can-see-you-taylors-version-from-the-vault-lyrics,"  I-I-I-I   You brush past me in the hallway And you don't think I, I, I can see ya, do ya? I’ve been watchin' you for ages And I spend my time tryin' not to feel it   But what would you do if I went to touch you now? What would you do if they never found us out? What would you do if we never made a sound?   ’Cause I can see you waitin' down the hall from me And I could see you up against the wall with me And what would you do? Baby, if you only knew That I can see you   I-I-I-I   And we kept everything professional But something's changed, it's somethin' I, I like They keep watchful eyes on us So it's best that we move fast and keep quiet You won't believe half the things I see inside my head Wait 'til you see half the things that haven’t happened yet",https://www.youtube.com/watch?v=jOD86iMAEY0
34,What Was I Made For?,Billie Eilish,https://genius.com/Billie-eilish-what-was-i-made-for-lyrics,"  I used to float, now I just fall down I used to know, but I'm not sure now What I was made for What was I made for?   Takin' a drive, I was an ideal Looked so alive, turns out I'm not real Just somethin' you paid for What was I made for?   'Cause I, I I don't know how to feel But I wanna try I don't know how to feel But someday, I might Someday, I might   Mm, mm, ah Mm, mm, mm   When did it end? All the enjoyment I'm sad again, don't tell my boyfriend It's not what he's made for What was I made for?",https://www.youtube.com/watch?v=dpnTd9Dx2OM
35,Search & Rescue,Drake,https://genius.com/Drake-search-and-rescue-lyrics,"  ( I-I'm ) SADPONY Ayy  ( I-I'm ) , yeah BNYX   I need someone to be patient with me Someone to get money with, not take it from me, look They don't even need to be as famous as me I don't think I'll meet 'em at the places I be   ( I-I-I ) But deep down I think about you all day, mami I know I'm a pitbull, but dale, mami I just wanna take you on a holiday, mami Say what's on your mind, I'm a call away, mami   Come and rescue me (Woah) Take me out the club (What?), take me out the trap   ( I-I-I ) Take me off the market, take me off the map I'm tryna hit the group chat and tell 'еm it's a— Come and rescue mе Take me out the club, take me out the trap Take me off the market, take me off the map I'm tryna hit the group chat and tell 'em it's a wrap",https://www.youtube.com/watch?v=IJU-s4b2NfA
36,Dancin' In The Country,Tyler Hubbard,https://genius.com/Tyler-hubbard-dancin-in-the-country-lyrics,"  Them neon lights Look good on you, so good on you But we ain't got No room to move, no room to move We need some space and I know a place Outside of town where it don't ever close down No, we never close down   Yeah, we can two-step Put your boots on, baby, we can do that Girl, cut a little loose, you can move that Move that, aw, yeah   I'll take you dancin' in the country, Levi's in them low beams Spin you in some red dirt, sweep you off of both feet Out here where the sun sets, Silverado backbeat You'll never wanna go home and never wanna not be Dancin' in the country Dancin' in the country   Yeah, it goes left, right, left You makin' me wanna sway You makin' me wanna play Some Alabama and Jackson Got you 'round my neck You makin' me wanna stay You makin' me wanna lay You down here in the pasture",https://www.youtube.com/watch?v=bde372WN2lg
37,Eyes Closed,Ed Sheeran,https://genius.com/Ed-sheeran-eyes-closed-lyrics,"  I know it's a bad idea But how can I help myself? Been inside for most this year And I thought a few drinks, they might help It's been a while, my dear Dealin' with the cards life dealt I'm still holdin' back these tears While my friends are somewhere else   I pictured this year a little bit different when it hit February I step in the bar, it hit me so hard, oh, how can it be this heavy? Every song reminds me you're gone and I feel thе lump form in my throat 'Cause I'm here alonе   Just dancin' with my eyes closed 'Cause everywhere I look, I still see you And time is movin' so slow And I don't know what else that I can do So I'll keep dancin' with my   Eye-eye-eye-eyes Eye-eye-eye-eyes closed Eye-eye-eye-eyes So I'll keep dancin' with my",https://www.youtube.com/watch?v=u6wOyMUs74I
38,Memory Lane,Old Dominion,https://genius.com/Old-dominion-memory-lane-lyrics,"  If I could buy a house on Memory Lane I'd put my money down and I'd sign my name On that little corner lot where it don't ever rain And we'd stay good as new like a fresh coat of paint You'd be mine in the shine of a front porch light Yeah, I might as well live there, baby That's where I spend most of my time   Thinkin' 'bout those sunsets that bled into jean jacket nights Those tangled up mornings lost in paradise Still drunk on the feeling when I close my eyes You're pulling me closer, your head on my shoulder We'd never let go and we'd never be over   If I could buy a house on Memory Lane I wouldn't have to wonder if you miss me the same I'd be loving you as usual, telling you you're beautiful Oh, I'd be happily delusional   Thinkin' 'bout those sunsets that bled into jean jacket nights Those tangled up mornings lost in paradise Still drunk on the feeling when I close my eyes You're pulling me closer, your head on my shoulder We'd never let go and we'd never be over",https://www.youtube.com/watch?v=oRzuQt70rnc
39,Dial Drunk,Noah Kahan,https://genius.com/Noah-kahan-dial-drunk-lyrics,"  I'm rememberin' I promised to forget you now But it's rainin' and I'm callin' drunk And my medicine is drowning  your perspective out So I ain't taking any fault Am I honest still? Am I half the man I used to be? I doubt it, forget about it, whatever It's all the same anyways   I ain't proud of all the punches that I've thrown In the name of someone I no longer know For the shame of being young, drunk, and alone Traffic lights and a transmitter radio I don't like that, when they threw me in the car I gave your name as my emergency phone call Honey, it rang and rang, even the cops thought you were wrong for hanging up I dial drunk, I'll die a drunk, I'll die for you   I'm untethering from the parts of me you'd recognize From charming to alarming in seconds I'll be bedridden, I'll let the pain metastasize But, that's morning, I'll forget it And the dial tone is all I have",https://www.youtube.com/watch?v=m9Kev73C2cc
40,Bury Me In Georgia,Kane Brown,https://genius.com/Kane-brown-bury-me-in-georgia-lyrics,"  Bury me in Georgia Mm-hmm Mm-hmm   Ten miles out of Chattanooga South of that state line There's a no-name road off Highway 2 Just past the welcome sign It's where I was born, it's where I was raised Ain't sayin' I'm ready yet But that's the place I wanna be after my last breath   Bury me in Georgia Let me rest in peace Underneath the pines, yeah, yeah, yeah Where my roots run deep (Where my roots run deep) Whеn it's my day, put me in that clay And remembеr what I told you When I die, bury me in Georgia Mm-hmm   Yeah, I don't care what color my suit is Or what shoes y'all put on my feet I don't care how many show up, yeah Or who reads my eulogy Just take me out to that graveyard Sing a send me home song Put ""Go Dawgs"" on my headstone  (Headstone) And pile that red dirt on",https://music.youtube.com/watch?v=ejK2BlmWLL8
41,Love You Anyway,Luke Combs,https://genius.com/Luke-combs-love-you-anyway-lyrics,"  If your kiss turned me to stone I'd be a statue standing tall in ancient Rome And if your touch shattered me like glass I’d be in pieces trying to make the breaking last   If it took one look to turn my days to night At least I'd have the stars that sparkle in your eyes   There's just some things that leave a man no choice Like a compass needle needing its true North Even if I knew the day we met you’d be the reason this heart breaks Oh, I'd love you anyway   I know just tryin' to write a song I run the risk that I could get your perfect wrong And well, I guess what I'm tryin' to say Is there ain't words been made could shoulder so much weight   And if you turned your back on me and walked away Not a thing about the way I feel would change",https://www.youtube.com/watch?v=27nRqoBQLl4
42,Put It On Da Floor Again,Latto Featuring Cardi B,https://genius.com/Latto-put-it-on-da-floor-again-lyrics,"  (Go Grizz) Ah  (Squat made the beat) What's happenin'?  ( Bardi ) Big Latto ( Bop )   Rip me out the plastic , I been actin' brand new Bitches actin' like they runnin' shit, they really ran through I'll spend that five hundred 'fore I ever trap you They thought I was gon' fall off, I hate to bring you bad news Threw so many racks, a bitch can't even see the floor From Atlanta to L.A. , the only time I'm back and forth Cheap niggas make you pick , rich niggas get you both Gave the Bentley to valet and let that nigga drive the boat Shh, be quiet (Be quiet), lеt me pop off Leave thе club sloppy drunk, come home and get my rocks off Heard ""Bitch from Da Souf,"" he tryna see me knock his socks off Told them bitches, ""Meet me at the top,"" think they got lost Tuh, I'm on go like Grizz She thought I would kiss her ass, she must ain't took her meds, tuh Shit around my neck, it cost a arm and leg Swear that nigga set for life, I let him get me preg'   I done done it all (Tuh), feel like Shawty Lo (Tuh) Laughin' to the bank (Tuh), but shit is not a joke (Tuh) Say she got a problem (Tuh), imaginary smoke (Tuh) Bitches said it's up (Tuh), then put it on the floor (Tuh) I done done it all (Tuh), feel like Shawty Lo (Tuh) Laughin' to the bank (Tuh), but shit is not a joke (Tuh) Say she got a problem (Tuh), imaginary smoke (Tuh) Bitches said it's up (Tuh), then put it on the floor (Tuh)",https://www.youtube.com/watch?v=-WtNCR3EDS4
43,Chemical,Post Malone,https://genius.com/Post-malone-chemical-lyrics,"  Oxytocin makin' it all okay When I come back down, it doesn't feel the same Now, I'm sittin' 'round waitin' for the world to end all day 'Cause I couldn't leave you if I tried   You break me, then I break my rules Last time was the last time too It's fucked up, I know, but I'm still   Outside of the party, smokin' in the car with you Seven-nation army fightin' at the bar with you Tell you that I'm sorry, tell me what I gotta do 'Cause I can't let go, it's chemical No, I can't let go, it's chemical   Every time I'm ready to make a change (Mhm) You turn around and fuck out all my brains (Woo) I ain't tryna fight fate, it's too late to save face I can't get away, maybe there's no mistakes (Maybe there's no mistakes)   You break me, then I break my rules Last time was the last time too It's fucked up, I know, but I'm still, still",https://www.youtube.com/watch?v=D2HMHH6sRBY
44,Where She Goes,Bad Bunny,https://genius.com/Bad-bunny-where-she-goes-lyrics,"    Baby, dime la verdad Si te olvidaste de mí Yo sé que fue una noche na' má' Que no se vuelve a repetir Tal ve' en ti quise encontrar Lo que en otra perdí Tu orgullo no me quiere hablar Entonce' vamo' a competir, a ver, ey   No me gusta perder (Ey), dime qué vamo' a hacer Me paso mirando el cel (Ah), wow, no puede ser (No, no) Aunque me tarde un poco, juro que vo'a responder Quisiera volverte a ver Quisiera volverte a ver encima de mí brincando, uh, uh, uh Lo rica que te ves chingando, uh, uh, uh (Ey, ey) No sé qué estamo' esperando (Dime) El orgullo nos está ganando, ey   Baby, dime la verdad Si te olvidaste de mí Yo sé que fue una noche na' má' Que no se vuelve a repetir Tal ve' en ti quise encontrar, ey Lo que en otra perdí Tu orgullo no me quiere hablar Entonce' vamo' a competir, a ver, ey",https://www.youtube.com/watch?v=edR-SJVJDEs
45,Sabor Fresa,Fuerza Regida,https://genius.com/Fuerza-regida-sabor-fresa-lyrics,"    Mesero, traiga champagne Que quiero complacer las babies de atrás Ya me vieron al bailar Con el paso que cargo logré apantallar La morra es de calidad Con una cinturita, les gusta perrear La niña me besa y besa Fresa, sabor fresa, quiere bellaquear   ¿Cómo la ve, mi camarada Si nos vamos pa' la albercada? Que se quiten la ropa cara Afírmale, carnal, logramos coronar Me gusta andar con la plebada Puras fresitas operadas Que se quiten la ropa cara Aquí no le bajamos, siempre beliqueando   Otro pedo Como siempre, viejo Fuerza Regida",https://www.youtube.com/watch?v=49VC4UF_7zI
46,Area Codes,Kaliii,https://genius.com/Kaliii-area-codes-lyrics,"  Yeah, yeah ( 28Shit ) Kali You know I love me a motherfuckin' trick (Yeah)   Got a white boy on my roster He be feeding me pasta and lobster He just hit me up on Tuesday like, ""What you doing, bae? Let me take you shoppin'"" (Brr) I told him, ""Well, I'm a little busy"" (Damn) He said, ""Damn, I'm in your city (Fuck) But anyway, it's okay, hope you have a good day I'ma send you 'bout eight fifty"" (Ooh) Then I told him, ""You treat me so well"" He said, ""Cash App or Zelle? (Ching) Matter of fact, scratch that, I'ma send you a stack Just cause you fine as hell"" And I told him, ""Well, thank you, baby"" (Thank you) ""Anything for my favorite lady"" (Ooh) Well, I gotta go, they just let me know That I could pick up my Mercedes (Skrrt)   I got hoes (Might just be your nigga) In different area codes (He know what's up) Everywhere I go (Every time I pop out) I call and they drop the lo' (Come drop that fuckin' location) 'Cause I got hoes (Might just be your bitch) In different area codes (She know what's up) Some of 'em bros (Could be your daddy) And I'm big pimpin' 'cause they know (They know what's up)",https://www.youtube.com/watch?v=g3pLoVClX9M
47,Overdrive,Post Malone,https://genius.com/Post-malone-overdrive-lyrics,"  I spend my nights on overdrive I live my life so overtired And there's nowhere I can hide Now I live my life on overdrive   I could be more like him if that's cool to you I'd do anything to be cool to you Cool to you   I spend my nights on overdrive I live my life so uninspired There ain't no angels in this world So I live my life on overdrive   I'd remove my tattoos if that's cool to you I'd do anything to be cool to you Cool to you, uh   I could end it with her if that's cool to you I'd do anything to be cool to you",https://www.youtube.com/watch?v=hggjZ-FGGkw
48,LaLa,Myke Towers,https://genius.com/Myke-towers-lala-lyrics,"    La-la-la-la-la-la  ( Full Harmony ) La-la-la-la-la-la La-la-la-la-la-la La-la-la-la Todo está bien, no te tienes que estresar A ti yo sola no te dejaré Me enchulé la primera vez que la vi Me enamoré cuando con ella bailé Desde hace rato se quería pegar Puso la espalda contra la pared Y si yo bajo sabe qué le haré   La-la-la-la-la-la Tú quieres, mami ( La-la-la-la-la-la ) Se le viran los ojo' ( La-la-la-la-la-la ) La miro y se relambe ( La-la-la-la-la-la ) El pintalabio' rojo ( La-la-la-la-la-la ) Esa cintura suelta ( La-la-la-la-la-la ) Baby, si yo te cojo ( La-la-la-la-la-la ) Te subo a la altura ( La-la-la-la-la-la ) Tú dime y te recojo ( La-la-la-la-la-la )",https://www.youtube.com/watch?v=jZ68wQ_wOWo
49,Princess Diana,Ice Spice & Nicki Minaj,https://genius.com/Ice-spice-and-nicki-minaj-princess-diana-lyrics,"  Heavy On It, mm-hmm New York, stand the fuck up  ( Grrah ) When we come out, it look like Princess Diana on the street  ( Grrah ) Ayo, Ice  ( Stop playin' with 'em, RIOT ) ( Finish 'em )   Like, grrah, keep it a stack Bitches move wock' 'cause they know I got bands (Damn) They be chattin', I don't give a damn And I'm still gettin' money, I know who I am (Grrah) Tryna be low, he gon' hit up my 'Gram (Grrah) If he smart, he gon' act like a fan (Damn) Thinkin' you bigger, they got ya head gassed (Grrah) Bitches slow, so I give 'em a pass Like, grrah, keep it a stack Bitches move wock' 'cause they know I got bands (Damn) They be chattin', I don't give a damn And I'm still gеttin' money, I know who I am  (Grrah) Tryna be low, he gon' hit up my 'Gram (Grrah) If hе smart, he gon' act like a fan (Damn) Thinkin' you bigger, they got ya head gassed (Grrah) Bitches slow, so I give 'em a pass   And I just fell in love with a gangsta (Like) So he put my name in a tat' But I don't let him come to the crib (Grrah) So we get it on where we at (Grrah) Nowadays, I be duckin' them cameras And they hype that I'm up on them banners Callin' my phone, but they know I don't answer (Why?) In the hood, I'm like Princess Diana (Grrah) I'm thick 'cause I be eatin' oats (Huh) Bitches not takin' shit from me but notes (Notes) Wanna be me, so she do my emotes And my name in her mouth so I bet she gon' choke (Bitch) To her man, I'm the girl of his dreams Thinkin' 'bout me when he brushin' his teeth He keep textin', I leave him on seen Hottest bitch out and they know what I mean (Know what I mean)",https://www.youtube.com/watch?v=gMq-I0dejjE
50,Tulum,Peso Pluma & Grupo Frontera,https://genius.com/Peso-pluma-and-grupo-frontera-tulum-lyrics,"    Compa Peso, hay algo que le quiero decir a esa morra que está ahí   Tú eres un diez, pero sigues con ese tipo Que no te llega ni a los pies , y ni  parece  tu tipo Muchas fotos de vacaciones por allá en Tulum Pero sé que tu cora no te hace turum turum Bebé, estabas perdiendo el tiempo Qué bueno que llegué a tiempo   Baby, a mí lo que me faltaba eras tú Tú eres lo más rico que hay en el menú Dile que se despida, que ya tú estás convencida Baby, a mí lo que me faltaba eras tú Tú eres lo más rico que hay en el menú Dile que se despida, que ya estás convencida Dile que tienes otro hombre, si quieres dile mi nombre Que la comida se enfría, cuando se descuida Y que ya tienes otro hombre, si quieres dile mi nombre Que la comida se enfría, cuando se descuida   Eso es, Grupo Frontera ¡Chau! Y la Doble P",https://www.youtube.com/watch?v=mG_RN0oB4oE
51,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",https://genius.com/Peso-pluma-gabito-ballesteros-and-junior-h-lady-gaga-lyrics,"    Dom Pérignon Lady Gaga , lentes en la cara, tusi y  lavada Triple lavada, y una bandida que me llama, quieren mi lana Y no está mal, porque me seduce como animal Ninguna sube nada al Instagram, solo disfrutan, solo disfrutan   Pura influencer bien placosa, las que navegamos y las volamos Islas privadas en yate, tronamos las pacas y  sin Yolanda Me vo'a enfiestar,  polvito rosa , plumita de wax Esa cintura vale 30k, no puedes pagar, no te va a alcanzar Viviendo en el San Andrés, pero de a deberas, carros y feria Tres estrellas me atoraron la clave en caliente, desafanaron Tusi  y cocaine Me gusta el Lambo, pero uso el Merced Esa es muy bella y se deja querer Le gusta de a cien, quiere mi Cartier   Oh-oh-oh-oh-oh-oh, ah Ah-ah-ah-ah-ah-ah, ah   Y así nomás, compa Peso, compa Junior Compa Gabito, Doble P, uh ¡Cha-chau! Y pura Doble P, viejillo Que siga la mata dando, compa Junior Compa Gabito",https://www.youtube.com/watch?v=3Wnso2A4PZE
52,Peaches & Eggplants,Young Nudy Featuring 21 Savage,https://genius.com/Young-nudy-peaches-and-eggplants-lyrics,"  This how it sound when I hit your ho Be like this, it be like this, it be like this I get b— I get behind your ho and then I be like— I be like this ( COUPE ) What you doin', Slime? (Boaw, boaw, boaw, boaw, boaw, boaw) Dig in that pussy (Boaw, boaw, boaw, boaw, boaw, boaw) Beat her back down (Boaw, boaw, boaw, boaw, boaw, boaw) What we doin'? (Boaw, boaw, boaw, boaw, boaw, boaw)   Boaw, boaw, boaw, boaw, boaw, boaw in your ho, yeah Boaw, boaw, boaw, boaw, boaw, boaw in your ho Boaw, boaw, boaw, boaw, boaw, boaw in your ho, yeah Boaw, boaw, boaw, boaw, boaw, boaw in your ho   Slut out a freak Hit her from the back, turn her bladder deep Do the triple X when I'm in a freak Baow, baow, knock a ho to her knee Beat her back down, bitch tryna skeet Bitch, turn around, come suck the meat Round for round, finna beat her 'til she sleep Eat that pussy up, bon appétit Take her back a day like I'm on a G Slow it down, baby, ridе me like a Z Double cup, you gon' ridе me straight to sleep Two hoes tryna fuck me while I'm geeked Blame it on the pill when she gettin' beat Goin' ham on her when I give her D Goin' home, boy, I gotta keep it P Gotta go home to bloody streets Yeah, she gonna bump and bump and boom She gonna make that booty move I'm in that bitch, got that ho in the mood And we be geekin' like sun to the moon We on some shit that we don't 'posed to do One of my bro hoes came out the Ub' I don't know, but that ho with the, ooh Shit was leakin', ooh, juice Shit was peachy just like the fruit She say that that shit was fruit I say that that shit was goose I just beat that pussy loose Knock them walls down, all I do Hit that ho like  one or two Three, four times, that Addy , ooh",https://www.youtube.com/watch?v=2D17Pat5wWw
53,Your Heart Or Mine,Jon Pardi,https://genius.com/Jon-pardi-your-heart-or-mine-lyrics,"  All it takes is a downtown bar All it takes is some neon stars A little you, a little me In the same vicinity and it's on Everyone is the first last time Walk away, then, we hit rewind A little touch, a little buzz Don't know what keeps keepin' it up   Is it your heart or mine? Is it whiskey or wine? Is it somethin' in the night Makin' us wanna cross that line? Girl, we're playin' with fire Love ain't too far behind It's just a matter of time 'Til it finds your heart or mine   We say that it ain't no thing We say it, then, the telephone rings A hello, arе you at home 'Cause I'm all alone missin' you Wе swear it ain't love, love, love But you're there when the sun comes up We swear it ain't love, love, love But it always comes back to us",https://www.youtube.com/watch?v=7RR5c52dfOQ
54,What It Is (Block Boy),Doechii Featuring Kodak Black,https://genius.com/Doechii-what-it-is-block-boy-lyrics,"  What it is, ho? What's up? Every good girl needs a little thug Every block boy needs a little love If you put it down, I'ma pick it up, up, up   Can't you just see, it's just me and you? Panoramic view, that's my point of view, bae All about me, that's the energy That's that lemon pepper thing, I'm a ten-piece, baby   Bedroom bully in the bando He gon' make it flip, do it with no handles Never switchin' sides, only switchin' angles Ooh, we go crazy like Rambo   What it is, ho? ( What it is? ) What's up? ( What's up? ) Every good girl needs a little thug ( Thug ) Every block boy needs a little love ( Love ) If you put it down, I'ma pick it up, up ( Ayy ), up ( Ayy ) What it is, ho? ( What it is? ) What's up? ( What's up? ) Every good girl needs a little thug ( Thug ) Every block boy needs a little love ( Love ) If you put it down, I'ma pick it up, up ( Ayy ), up ( Ayy )",https://www.youtube.com/watch?v=phtcAd8j6Ro
55,Mourning,Post Malone,https://genius.com/Post-malone-mourning-lyrics,"  Don't wanna sober up The sun is killin' my buzz, that's why they call it mourning Thought I was strong enough Threw my bottle at the sky, said, ""God, that's a warning"" Don't wanna sober up Try to keep it inside, but I just wanna pour it Thought I was strong enough Got a lotta shit to say, couldn't fit it in the chorus   I just left Wally's, spent a Maserati The way I gotta flex, you'd think I did Pilates I call my quote-unquote friends, ""Do you got plans?"" Turns out everyone's free when the dinner is Then they drag me to a party out in Malibu After thirty High Noons, it was pretty cool Tried to shoot my shot, she told me that she had a shoot Bye-bye (Damn)   Don't wanna sober up The sun is killin' my buzz, that's why they call it mourning Thought I was strong enough Threw my bottle at the sky, said, ""God, that's a warning "" Don't wanna sober up Try to keep it inside, but I just wanna pour it Thought I was strong enough Got a lotta shit to say, couldn't fit it in the chorus",https://www.youtube.com/watch?v=U2Ww0iPEet4
56,TQM,Fuerza Regida,https://genius.com/Fuerza-regida-tqm-lyrics,"    De Psycho Bunny o de Burberry, fumando pura motita cherry Super dorada, cacha de San Judas , las morras fresas me ponen débil Una gorrita de esas del pescado , tapan la mirada Poco saben de mí Venadeando, voy metiendo goles, y en el putero me dicen ""El Baby""   Me dicen ""TQM"" cuando ven el BM Voy partiendo el queso de JGL Siempre oloroso, Le Labo me quiere Haciendo feria, consigna de Iván y vienen   A huevo, viejo Y pura Fuerza Regida, viejo Otro pedo, viejo Como siempre, a la verga   Ya ando enfiestado y parece un festín Quiero despertar mirando a esta perri Perrillo, trucha, que no anda de oqui' Y esta princesa pide que le dé un kiss Cinco redondas son los anillos Pa' un imprevisto que me saquen de aquí Rumbo pa'l depa, ya suena ""Pepas"" Ya ando bien Travis, tráiganme a la Kylie",https://www.youtube.com/watch?v=B0bp6HV64e0
57,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",https://genius.com/David-guetta-anne-marie-and-coi-leray-baby-dont-hurt-me-lyrics,"  I want you for the dirty and clean When you're wakin' in your dreams When you bite my tongue and make me scream (And make me scream) See, I got everything that you need Ain't nobody gon' do it like me We are burnin' at a high degree (Burnin' at a high degree)   And you make me feel like it burns And it hurts, uh Maybe that's part of the rush This is us   What is love? Baby, don't hurt me Don't hurt me no more What is love? Baby, don't hurt me Don't hurt me no more   What is love? What is love? Yeah, yeah, uh-huh",https://www.youtube.com/watch?v=k3DBmAlUh1A
58,"You, Me, & Whiskey",Justin Moore & Priscilla Block,https://genius.com/Justin-moore-and-priscilla-block-you-me-and-whiskey-lyrics,"  You've been doing that nine-to-five straight line walkin' Yeah, it's been a long time ( Yeah, it's been a long time ) Since I've seen that lettin' down your hair Double-dog-dare look in your eyes Oh, and you've been burnin' it at both hands Been a hot minute since you flipped that switch Girl, it ain't nobody's fault, shut the world off And turn it back to when   It was you, me, and whiskey all night long Sinkin' to the bottom of them country songs Fire burnin' hot 'til the last drop's gone Let's turn it up, turn it up 'Til we take that Black Label buzz too far And say them things that stay in the dark Ain't nothin' as sweet, ain't nothin' as strong As you, me, and whiskey all night long   I see you still got that knock-it-back shot glass Girl, you ain't missed a beat You already let a little four lettеr slip And your hands are all over me And you'rе already talkin' dirty and it's only 10:30 We know where it goes from here I can't find this me in a red wine glass Yeah, and I can't find it in a beer",https://www.youtube.com/watch?v=kkHL_5ORKWk
59,Stand By Me,Lil Durk Featuring Morgan Wallen,https://genius.com/Lil-durk-stand-by-me-lyrics,"  (Oh) (Oh) (Oh)   If tomorrow I lost it all And everything that I have was gone When there's nobody else to call Would you stand by me? Would you stand by me? When the world tries to keep me down ( When the world tryna keep me down ) And there's nobody else around ( And there's nobody else around ) Keep it real, can you tell me now? ( Tell me now ) Would you stand by me? Would you stand by me? ( Oh yeah )   I don't know why they be playin' with me I lose it all, are you stayin' with me? Amsterdam, I skipped the red district She love my dawg, but he bad business I could've been in the bed with you I decided to hang with some bad bitches Gave me another chance to prove, but she ain't playin' with me I'm so sorry for that Can I explain? Just give me a second You showed me love and I'll never forget it Say you don't got it, they think you dramatic Loyalty, baby, that shit automatic Brought me to tears, my bro for years Told me no, say he ain't got it Ran it up and I ain't panic",https://music.youtube.com/watch?v=hfjpbXys2hk&list=OLAK5uy_m8wxM-b65fYKvlvR-l60hg6xFRKitZ7K0
60,Watermelon Moonshine,Lainey Wilson,https://genius.com/Lainey-wilson-watermelon-moonshine-lyrics,  It was right after senior year Just before the summer disappeared We went a-ridin' them old farm ruts Hangin' out on the gate of his truck We threw a blanket 'neath the sunset Bein' brave as eighteen gets We gave each other more than our hearts With the help of a mason jar   Drinkin' watermelon moonshine Cut the burn with a little lime Parkin' back in them kudzu vines I was his and every bit of that boy was minе Too young to know what love was But we werе learnin' on a sweet buzz There's never nothin' like the first time And mine's always gonna taste like Watermelon moonshine   I don't remember where we got it from I just remember feelin' all grown up Takin' pulls like it ain't no thing Never told him it was my first drink But I told him that he was the one You're so sure when you're that young You think you got it all figured out And now I laugh when I think about,https://www.youtube.com/watch?v=awO6AbnR8D4
61,Daylight,David Kushner,https://genius.com/David-kushner-daylight-lyrics,"  Telling myself I won't go there Oh, but I know that I won't care Tryna wash away all the blood I've spilt This lust is a burden that we both share Two sinners can't atone from a lone prayer Souls tied, intertwined by pride and guilt   (Ooh) There's darkness in the distance From the way that I've been livin' (Ooh) But I know I can't resist it   Oh, I love it and I hate it at the same time You and I drink the poison from the same vine Oh, I love it and I hate it at the same time Hidin' all of our sins from the daylight From the daylight, runnin' from thе daylight From the daylight, runnin' from the daylight Oh, I love it and I hatе it at the same time   Tellin' myself it's the last time Can you spare any mercy that you might find If I'm down on my knees again? Deep down, way down, Lord, I try Try to follow your light, but it's nighttime Please don't leave me in the end",https://www.youtube.com/watch?v=VJBDMlB0rlY
62,ICU,Coco Jones,https://genius.com/Coco-jones-icu-lyrics,"  Oh, ooh ( Welcome to the camp ) Oh, ooh Oh, ooh Mm, mm-mm-mm Mm, yeah, yeah Oh, ooh   Somethin' 'bout your hands on my body Feels better than any man I ever had Somethin' 'bout the way you just get me I try and I, don't 'cause I, can't forget   You've got a feeling A soul, that I need in my life (Yeah, yeah) Oh, woah And though we may grow I don't know why we don't grow apart   Maybe I-I-I-I-I, I need you I breathe you, turnin' my heart blue Maybe I-I-I-I-I, I need you When I leave you, I see you Oh-oh-oh, oh, oh-oh-oh, oh Oh-oh-oh, oh, oh, oh, oh",https://www.youtube.com/watch?v=CDUJNXcp494
